Thời gian,Loại vàng,Màu xi,Trước xi,Sau xi,"Sau xi (+,-)",Chi phí,"Nhập hàng (+,-)",Tổng TL ban đầu
16-04-2023,610,Si trắng,1 dây 2c158,2c154,,,,0c
16-04-2023,610,Si 2-3 màu,1 vòng 1c728,1c728,,,,0c
16-04-2023,610,Si 2-3 màu,1 bông 3p34,3p34,,,,0c
16-04-2023,610,Si 2-3 màu,2 mặt 2c892,2c888,,,,0c
16-04-2023,610,Si 2-3 màu,3 nhẫn 7c224,7c218,,,,0c
16-04-2023,Ý,Si hồng,2 dây 1c216,1c208,,,,0c
16-04-2023,Ý,Si 2-3 màu,1 vòng 6c628,6c622,,,,0c
16-04-2023,Ý,Si 2-3 màu,3 mặt 4c048,4c034,,,,0c
16-04-2023,Ý,Si trắng,9 dây 25c554,25c48,,,,0c
16-04-2023,Ý,Si trắng,1 vòng 1c338,1c324,,,,0c
16-04-2023,Ý,Si trắng,16 bông 8c878,8c77,,,,0c
16-04-2023,Ý,Si trắng,6 mặt 5c44,5c412,,,,0c
16-04-2023,Ý,Si trắng,10 nhẫn 17c048,16c916,,,,0c
16-04-2023,416,Si trắng,11 lắc 17c162,17c144,,,,0c
16-04-2023,416,Si trắng,3 vòng 5c456,5c438,,,,0c
16-04-2023,416,Si trắng,18 bông 7c928,7c798,,,,0c
16-04-2023,416,Si trắng,24 nhẫn 19c342,19c074,,,,0c
16-04-2023,610,Si 2-3 màu,7 lắc 13c848,13c822,-8li8+8li2 (thay khóa),,,0c
16-04-2023,610,Si trắng,1 mặt 1c908,1c896,,,-1 -1c896 (hư),0c
16-04-2023,416,Si trắng,8 mặt 3c646,3c63,,,-1 -3p88(hư),0c
16-04-2023,416,Si trắng,10 dây 12c914,12c898,-3li+3li2,,,0c
16-04-2023,Ý,Si trắng,3 lắc 5c498,5c472,,,-1-6g61,0c
16-04-2023,610,Si 2-3 màu,5 dây 15c126,15c078,-2li (rẽo),,-1 -4c608 (hư),0c
16-04-2023,610,Si trắng,1 lắc 7p56,7p54,,,,0c
